headline,date,time,view,like,share,comment,category,tag
Boeing ประกาศระงับการใช้เครื่องบินรุ่น 737 MAX ทั่วโลกแล้ว พร้อมยืนยันความปลอดภัยยังคงเป็นสิ่งที่องค์กรคำนึงมากที่สุด,14.03.2019,,463K,,Loading...,,World,"Boeing,Boeing 737 MAX"
“คืนนี้ลิเวอร์พูลกลับคืนสู่ทีมชั้นนำของยุโรป” คล็อปป์มั่นใจลิเวอร์พูลพร้อมเจอทีมใดก็ได้ในยูฟ่าแชมเปียนส์ลีกต่อจากนี้,14.03.2019,,333K,,Loading...,,Sport,"Liverpool,Bayern Munich,Jürgen Klopp"
กรณ์แจง สมคิดหนุนหัวหน้าพรรคตัวเองเป็นนายกฯ คือหลักสากล ที่กังวลคือ 250 ส.ว. เลือกสวนทางกับเสียงข้างมาก ส.ส.,14.03.2019,,"1,044K",,Loading...,,"Thailand,Politics","สมคิด จาตุศรีพิทักษ์,กรณ์ จาติกวณิช,พรรคประชาธิปัตย์"
ทอ. แจง อนาคตใหม่ไม่ได้ทำหนังสือขอหาเสียงในเขตพื้นที่ตามขั้นตอน,14.03.2019,,395K,,Loading...,,"Thailand,Politics","พงษ์ศักดิ์  เสมาชัย,พรรคอนาคตใหม่,นิกม์ แสงศิรินาวิน"
พลังประชารัฐ ปล่อยนโยบายโค้งสุดท้าย ค่าแรงขั้นต่ำ 425 บาท จบ ป.ตรี เงินเดือน 2 หมื่น ลดภาษีบุคคลธรรมดา 10% ไม่นิรโทษกรรมคนผิด,14.03.2019,,"1,293K",,Loading...,,"Thailand,Politics","อุตตม สาวนายน,สนธิรัตน์ สนธิจิรวงศ์,สุวิทย์ เมษินทรีย์,พรรคพลังประชารัฐ"
อีสานโพล เผย ส่วนใหญ่เลือกเพื่อไทย อยากเห็น ‘สุดารัตน์’ เป็นนายกฯ – ‘อนาคตใหม่’ มาแรง,14.03.2019,,583K,,Loading...,,"Thailand,Politics","พรรคเพื่อไทย,สุดารัตน์ เกยุราพันธุ์,ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่,โพลเลือกตั้ง"
ด่วน ผู้ตรวจการแผ่นดิน มีคำวินิจฉัยชี้ ‘พลเอก ประยุทธ์’ ไม่เข้าข่ายเป็น ‘เจ้าหน้าที่อื่นของรัฐ’,14.03.2019,,"2,205K",,Loading...,,"Thailand,Politics","คสช.,ประยุทธ์ จันทร์โอชา,พรรคพลังประชารัฐ"
โทรทัศน์ 8K เครื่องกรองอากาศพกพา เครื่องทำคราฟต์เบียร์แคปซูล บุกบ้านอัจฉริยะ LG InnoFest ถึงออสเตรเลีย,14.03.2019,,223K,,Loading...,,"Business,Tech","Smart Home,LG,LG InnoFest APAC 2019"
บูชาครูวัดหลวงพ่อเปิ่น กับความเชื่อที่น่าตื่นตา,16.03.2019,,455K,,Loading...,,Thailand,"วัดบางพระ,หลวงพ่อเปิ่น ฐิตคุโณ"
บรรยากาศการเลือกตั้งล่วงหน้าเขตสัมพันธวงศ์,17.03.2019,,278K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,เขตสัมพันธวงศ์,เลือกตั้งล่วงหน้า"
‘ชัชชาติ’ ย้ำ เพื่อไทยไม่ร่วมก๊วน ‘สืบทอดอำนาจ’ ปักธงดันค่าแรงขั้นต่ำ 400 บาท แต่เศรษฐกิจต้องดีก่อน,15.03.2019,,469K,,Loading...,,"Thailand,Politics","พรรคเพื่อไทย,ชัชชาติ สิทธิพันธุ์"
บก.ลายจุดบุก กกต. ยืนยัน พล.อ. ประยุทธ์ เป็นเจ้าหน้าที่รัฐ พร้อมเสนอตัวเป็นพยาน,15.03.2019,,342K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,บก.ลายจุด,สมบัติ บุญงามอนงค์,พรรคเกียน"
ท่านทูตวีรชัย พลาศรัย เอกอัครราชทูตไทยประจำสหรัฐอเมริกา เสียชีวิตแล้ว,16.03.2019,,"4,117K",,Loading...,,"World,Thailand","วีรชัย พลาศรัย,โรคเอ็มดีเอส (MDS)"
‘มิ่งขวัญ’ ติงนโยบายขึ้นค่าแรง 425 บาท อาจได้กินก๋วยเตี๋ยวชามละ 100 บาท จากเหตุเงินเฟ้อแบบ ‘เวเนซุเอลา’,15.03.2019,,"1,030K",,Loading...,,"Thailand,Politics","มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่"
เพื่อไทยร้อง กกต. สอบ ‘สุเทพ-พรรค รปช.’ เปิดคลิปชุมนุม กปปส. ใส่ร้ายเพื่อไทย,15.03.2019,,268K,,Loading...,,"Thailand,Politics","พรรคเพื่อไทย,สุเทพ เทือกสุบรรณ,ภูมิธรรม เวชยชัย,วิโรจน์ เปาอินทร์,พรรครวมพลังประชาชาติไทย"
กกต. แจ้งเปลี่ยนสถานที่เลือกตั้งนอกเขต 7 แห่งผ่านแอปฯ Smart Vote,17.03.2019,,293K,,Loading...,,"Thailand,Politics","กกต.,สำนักข่าวกรมประชาสัมพันธ์,เลือกตั้งล่วงหน้า,เลือกตั้งนอกเขต,Smart Vote"
ถ้าไปใช้สิทธิไม่ได้ แต่ไม่อยากเสียสิทธิต้องทำอย่างไร?,15.03.2019,,645K,,Loading...,,"Thailand,Politics",การเลือกตั้ง
BMW และ Mercedes-Benz เตรียมประกาศลดราคาขายรถยนต์ในจีน หลังรัฐบาลประกาศลดภาษีมูลค่าเพิ่ม,16.03.2019,,120K,,Loading...,,Business,"BMW,Mercedes-Benz,Vat"
วิบากกรรมธุรกิจ PACE ขายหุ้น Dean & Deluca 50% หาเงินใช้หนี้,14.03.2019,,322K,,Loading...,,Business,"ตลาดหลักทรัพย์แห่งประเทศไทย,DEAN & DELUCA,บริษัท เพซ ดีเวลลอปเมนท์ คอร์ปอเรชั่น จำกัด (มหาชน),PACE,บริษัท ดีน แอนด์ เดลูก้า คาเฟ่ เจแปน จำกัด"
นายกรัฐมนตรีนิวซีแลนด์ประกาศ ถึงเวลาแก้ไขกฎหมายอาวุธปืนในประเทศ หลังโศกนาฏกรรมมัสยิดในเมืองไครสต์เชิร์ช,16.03.2019,,428K,,Loading...,,World,"การก่อการร้าย,เหตุการณ์กราดยิง,New Zealand,ศาสนาอิสลาม"
เพื่อไทย ปล่อยหมัดเด็ดเปิดตัว ‘หวยบำเหน็จ’ เปลี่ยนการซื้อหวยเป็นเงินฝากตอนเกษียณ,17.03.2019,,289K,,Loading...,,"Thailand,Politics","พรรคเพื่อไทย,หวยบำเหน็จ"
เลือกตั้งล่วงหน้าทั่วประเทศคึกคัก ประชาชนแห่ใช้สิทธิหนาแน่น,17.03.2019,,170K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,เลือกตั้งล่วงหน้า,THESTANDARD x 77kaoded,เลือกตั้งนอกเขต"
เฌอปราง BNK48 ใช้สิทธิเลือกตั้งครั้งแรก,17.03.2019,,358K,,Loading...,,"Thailand,Politics","BNK48,เฌอปราง อารีย์กุล,เลือกตั้งล่วงหน้า"
สุเทพ ปราศรัยโค้งสุดท้ายที่จังหวัดตรัง ถามอภิสิทธิ์ไม่เอาประยุทธ์ ไม่เอาเพื่อไทย จะเอาเสียงจากไหนตั้งรัฐบาล,17.03.2019,,248K,,Loading...,,"Thailand,Politics","สุเทพ เทือกสุบรรณ,การหาเสียง"
ท่วมท้น! เลือกตั้งล่วงหน้าราชเทวีคึกคัก คิวล้นตลอดช่วงเช้า,17.03.2019,,201K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,เลือกตั้งล่วงหน้า,เลือกตั้งนอกเขต,เขตราชเทวี"
นายกฯ ใส่เสื้อม่อฮ่อมลงพื้นที่แพร่-เชียงราย เสียงปรบมือดังลั่นหลังโยนหินถาม “อยากให้ทำต่อไหม”,17.03.2019,,101K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,อนุพงษ์ เผ่าจินดา,สุรศักดิ์ กาญจนรัตน์,กฤษฎา บุญราช,อาคม เติมพิทยาไพสิฐ,THESTANDARD x 77kaoded"
ประชาชนทยอยใช้สิทธิเลือกตั้งล่วงหน้าคับคั่งทั่วกรุงเทพฯ ปลัด กทม. แจง แสดงตนภายใน 17.00 น. ได้เลือกตั้งทุกคนแน่นอน,17.03.2019,,93K,,Loading...,,"Thailand,Politics","เลือกตั้งล่วงหน้า,เลือกตั้งนอกเขต"
อนุทินปล่อยหมัด ‘ยังไงก็ต้องชวนผมร่วมรัฐบาล’ ประธาน ส.อ.ท. เสนอเพิ่มเงินเดือนนายกฯ ดัน Made in Thailand,18.03.2019,,226K,,Loading...,,"Thailand,Business,Politics","SMEs,อนุทิน ชาญวีรกูล,พรรคภูมิใจไทย,สินค้า Made in Thailand"
ประชาธิปัตย์จี้ กกต. ตรวจสอบด่วน ผู้ว่าฯ นครศรีธรรมราช สั่งเกณฑ์คนสองหมื่นต้อนรับนายกฯ อาจแอบแฝงหาเสียง,18.03.2019,,357K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,กกต.,พรรคประชาธิปัตย์,เชาว์ มีขวด,จำเริญ ทิพญพงศ์ธาดา"
ยอดผู้เสียชีวิตเหตุกราดยิงมัสยิดในเมืองไครสต์เชิร์ชพุ่งเป็น 49 ราย นายกฯ หญิงนิวซีแลนด์เผย “นี่เป็นหนึ่งในวันที่มืดมนที่สุดในประวัติศาสตร์ของประเทศ”,15.03.2019,,"1,134K",,Loading...,,World,"การก่อการร้าย,เหตุการณ์กราดยิง,New Zealand,ศาสนาอิสลาม"
ธนาธร นักการเมืองไทยคนแรกที่เซ็น MOU โอนทรัพย์สินเข้า Blind Trust ขอแยกการเมืองขาดจากธุรกิจ,18.03.2019,,"31,530K",,Loading...,,"Thailand,Politics","ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่,MOU,Blind Trust"
ผีงานหนักชนบาร์โซลนา หงส์พบปอร์โต สรุปผลจับสลากยูฟ่าแชมเปี้ยนส์ลีกรอบ 8 ทีมสุดท้าย,15.03.2019,,378K,,Loading...,,Sport,"Manchester United,Liverpool,Chelsea,Manchester City,UEFA Champions League"
ประธาน กกต. แถลงหลังเลือกตั้งล่วงหน้า พบปัญหาขโมยบัตรเลือกตั้งทั้งเล่ม เพื่อกาให้ผู้สมัครรายหนึ่ง,18.03.2019,,"3,609K",,Loading...,,"Thailand,Politics","บัตรเลือกตั้ง,เลือกตั้งล่วงหน้า"
กางร่มรอเลือกตั้ง,17.03.2019,,96K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,เลือกตั้งล่วงหน้า"
อร BNK48 เดินทางมาใช้สิทธิเลือกตั้งครั้งแรก,17.03.2019,,784K,,Loading...,,"Thailand,Politics","BNK48,พัศชนันท์ เจียจิรโชติ,เลือกตั้งล่วงหน้า"
คนดังออกมาใช้สิทธิเลือกตั้งล่วงหน้า,17.03.2019,,"1,050K",,Loading...,,"Thailand,Politics","การเลือกตั้ง,เลือกตั้งล่วงหน้า,เลือกตั้งนอกเขต"
บรรยากาศปิดหีบเลือกตั้งล่วงหน้าเขตห้วยขวาง,17.03.2019,,656K,,Loading...,,"Thailand,Politics","เลือกตั้งล่วงหน้า,เลือกตั้งนอกเขต,เขตห้วยขวาง"
เพื่อไทยเปิดแคมเปญโค้งสุดท้ายหาเสียงเลือกตั้ง #พอแล้วนักการเมืองดัดจริตต่อชีวิตเผด็จการ พร้อมเปิดตัวหวยบำเหน็จ,17.03.2019,,330K,,Loading...,,"Thailand,Politics","พรรคเพื่อไทย,สุดารัตน์ เกยุราพันธุ์,ภูมิธรรม เวชยชัย,ชูศักดิ์ ศิรินิล,วิโรจน์ เปาอินทร์,อนุดิษฐ์ นาครทรรพ"
ทรัมป์ผลักดันสร้างกองทัพอวกาศ นานาชาติระบุ ห้วงอวกาศควรเป็นพื้นที่แห่งสันติภาพ ปลอดการสู้รบ,18.03.2019,,136K,,Loading...,,World,"Donald Trump,ประชุมสหประชาชาติ"
เอธิโอเปียชี้ โศกนาฏกรรม Boeing 737 Max 8 ของสองเที่ยวบินมีความคล้ายคลึงกัน,18.03.2019,,333K,,Loading...,,World,"เครื่องบินตก,Ethiopia,Boeing 737 Max 8"
โจมตีมัสยิดในไครสต์เชิร์ช การทำงานของความเกลียดชังและการก่อการร้ายของเหยื่อความหวาดกลัว,18.03.2019,,"1,833K",,Loading...,,World,"การก่อการร้าย,เหตุการณ์กราดยิง,New Zealand,ศาสนาอิสลาม"
กำนันสุเทพเปิดปราศรัยใหญ่กลางกรุง ชวนมวลมหาประชาชนหนุนประยุทธ์เป็นนายกฯ,19.03.2019,,317K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,สุเทพ เทือกสุบรรณ,พรรครวมพลังประชาชาติไทย"
ทำลายบัตรเหลือ วิ่งใช้สิทธินาทีสุดท้าย นับบัตรเลือกตั้งเตรียมส่ง บรรยากาศหลังปิดหีบเลือกตั้งล่วงหน้า,17.03.2019,,852K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,เลือกตั้งล่วงหน้า,เลือกตั้งนอกเขต"
ทอท. ชะลอขายซองประมูลดิวตี้ฟรี ชี้รายเดียวรวบ 4 สนามบินช่วยสร้างอำนาจต่อรองของแบรนด์เนม,18.03.2019,,370K,,Loading...,,Business,"Duty Free,ท่าอากาศยานไทย (ทอท.)"
สรุปยอดผู้ใช้สิทธิเลือกตั้งล่วงหน้าใน กทม. 87.22% ไม่มีเขตใดต่ำกว่า 80%,18.03.2019,,"1,117K",,Loading...,,"Thailand,Politics","การเลือกตั้ง,เลือกตั้งล่วงหน้า,เลือกตั้งนอกเขต"
ส.ว. ออสเตรเลียถูกวัยรุ่นทุบหัวด้วยไข่ไก่ หลังโทษผู้อพยพเป็นสาเหตุโศกนาฏกรรมไครสต์เชิร์ช,17.03.2019,,278K,,Loading...,,World,"Australia,Fraser Anning"
กรณ์โพสต์แย้งธนาธรปม Blind Trust ชี้ยิ่งมองไม่เห็น ยิ่งตรวจสอบไม่ได้,19.03.2019,,641K,,Loading...,,"Thailand,Politics","กรณ์ จาติกวณิช,พรรคประชาธิปัตย์,ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่,Blind Trust"
ฝุ่นละอองภาคเหนือโดยรวม ‘เริ่มลดลง’ อ.แม่สาย จ.เชียงราย ยังครองแชมป์ค่าฝุ่นสูงสุดในไทย,18.03.2019,,179K,,Loading...,,Thailand,"กรมควบคุมมลพิษ,PM2.5,สถานการณ์ฝุ่น PM2.5"
อุตตมชี้ 5 พรรคจะแก้ รธน. ต้องทำประชามติ บอกพลังประชารัฐไม่สืบทอดอำนาจ ให้ประชาชนตัดสิน,19.03.2019,,481K,,Loading...,,"Thailand,Politics","อุตตม สาวนายน,พรรคพลังประชารัฐ,การสืบทอดอำนาจทางการเมือง,แก้ไขรัฐธรรมนูญ"
เปรมชัยขึ้นศาลสีหน้าเครียด รอฟังคำพิพากษาคดีล่าเสือดำ,19.03.2019,,927K,,Loading...,,Thailand,"เปรมชัย กรรณสูต,เสือดำ,คดีล่าสัตว์ป่าทุ่งใหญ่นเรศวรด้านตะวันตก"
หัวหน้าวิเชียรร่วมฟังคำพิพากษาคดีเปรมชัย ระบุรอคำตัดสินเหมือนคนไทยทั้งประเทศ,19.03.2019,,"1,473K",,Loading...,,Thailand,"เปรมชัย กรรณสูต,วิเชียร ชิณวงษ์,ชัยวัฒน์ ลิ้มลิขิตอักษร,เสือดำ,คดีล่าสัตว์ป่าทุ่งใหญ่นเรศวรด้านตะวันตก"
ม็อบเสื้อกั๊กเหลืองเคลื่อนไหวประท้วงติดต่อกันเป็นเสาร์ที่ 18 ร้านค้าแบรนด์เนมโดนทุบขโมยข้าวของเสียหาย,17.03.2019,,324K,,Loading...,,World,"France,Paris,ชุมนุมเสื้อกั๊กเหลือง"
พลเอก ประยุทธ์ ตรวจราชการเมืองคอน บอกเป็นหัวหน้าครอบครัว มีลูกกว่า 68 ล้านคน ต้องดูแลทั่วถึง,18.03.2019,,"1,716K",,Loading...,,"Thailand,Politics",ประยุทธ์ จันทร์โอชา
สรุปข้อหาเปรมชัยในคดีล่าเสือดำ,19.03.2019,,926K,,Loading...,,Thailand,"เปรมชัย กรรณสูต,เสือดำ,คดีล่าสัตว์ป่าทุ่งใหญ่นเรศวรด้านตะวันตก"
ศาลพิพากษาจำคุก ‘เปรมชัย กรรณสูต’ 16 เดือน ไม่รอลงอาญา,19.03.2019,,"11,900K",,Loading...,,Thailand,"เปรมชัย กรรณสูต,เสือดำ,คดีล่าสัตว์ป่าทุ่งใหญ่นเรศวรด้านตะวันตก"
เลือกตั้งล่วงหน้าใช้สิทธิท่วมท้น เทียบชัดปี 2562 VS. 2554,18.03.2019,,"2,465K",,Loading...,,"Thailand,Politics","การเลือกตั้ง,เลือกตั้งล่วงหน้า,เลือกตั้งนอกเขต"
ธนาธร แจงหลังมีคนติงไม่ใช่คนแรกที่ทำ Blind Trust ย้ำไปไกลกว่าหลายคน สร้างมาตรฐานใหม่การเมือง,18.03.2019,,847K,,Loading...,,"Thailand,Politics","ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่"
ประวิตร ย้ำ ‘ไม่ยอมให้ประเทศไทยจมกับปัญหาค้ามนุษย์’ เตรียมยื่นผลดำเนินงานให้อเมริกา 5 เม.ย. นี้,18.03.2019,,60K,,Loading...,,"Thailand,Politics","คงชีพ ตันตระวาณิชย์,กระทรวงกลาโหม,ประวิตร วงษ์สุวรรณ,ปัญหาการค้ามนุษย์"
เทียบนโยบาย ‘ค่าแรงขั้นต่ำและเงินเดือนพื้นฐาน’ ของ 4 พรรค ในศึกเลือกตั้ง 2562,18.03.2019,,"1,460K",,Loading...,,"Thailand,Politics","พรรคเพื่อไทย,พรรคประชาธิปัตย์,ค่าแรงขั้นต่ำ,พรรคพลังประชารัฐ,พรรคสามัญชน"
Apple เปิดตัว iPad Air และ iPad mini รุ่นใหม่ ชูจุดเด่นชิป A12 Bionic รองรับ Apple Pencil รุ่นแรก,19.03.2019,,420K,,Loading...,,Tech,"Apple,iPad,iPad Air,iPad mini"
เลือกตั้งไปแล้วได้อะไร ถ้าไม่ไป มีอะไรต้องเสีย,18.03.2019,,"6,425K",,Loading...,,"Thailand,Politics","การเลือกตั้ง,กกต.,ส.ส."
ตำรวจดัตช์รวบผู้ต้องสงสัยกราดยิงรถราง ยอดเสียชีวิตเพิ่มเป็น 3 ราย ยังไม่ยืนยันเป็นเหตุก่อการร้าย,19.03.2019,,114K,,Loading...,,World,"เหตุการณ์กราดยิง,Netherlands,Gokmen Tanis,นพรัตน์ จรูญเพ็ญ,Utrecht"
หนุน-ไม่หนุน ‘ประยุทธ์’ จับตาจุดยืนพรรคการเมืองโค้งสุดท้ายก่อนเลือกตั้ง,18.03.2019,,941K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,พรรคเพื่อไทย,พรรคประชาธิปัตย์,พรรคพลังประชารัฐ,พรรคอนาคตใหม่,พรรคภูมิใจไทย,พรรคชาติไทยพัฒนา,พรรครวมพลังประชาชาติไทย,พรรคประชาชนปฏิรูป,พรรคเสรีรวมไทย,พรรคประชาชาติ,พรรคเพื่อชาติ,พรรคเศรษฐกิจใหม่,พรรคชาติพัฒนา"
"ผู้นำโมซัมบิกเผย ยอดผู้เสียชีวิตจากพายุไซโคลนอิดาอีอาจทะลุเกิน 1,000 ราย สูญหายอีกเป็นจำนวนมาก",19.03.2019,,106K,,Loading...,,World,"Zimbabwe,พายุไซโคลน,พายุไซโคลนอิดาอี"
ความผิดพลาด 3 กรณีในการเลือกตั้งล่วงหน้า วันที่ 17 มีนาคมที่ผ่านมา,18.03.2019,,470K,,Loading...,,"Thailand,Politics",เลือกตั้งล่วงหน้า
พลังประชารัฐ เตรียมยื่น กกต. หลังเลือกตั้ง เอาผิดใส่ร้ายเป็นพรรคการเมืองสืบทอดเผด็จการ,19.03.2019,,398K,,Loading...,,"Thailand,Politics","คสช.,พรรคพลังประชารัฐ"
ครม. นิวซีแลนด์ไฟเขียวแก้กฎหมายอาวุธปืน หลังเหตุก่อการร้ายในไครสต์เชิร์ชคร่า 50 ชีวิต,18.03.2019,,208K,,Loading...,,World,"การก่อการร้าย,เหตุการณ์กราดยิง,New Zealand,สิทธิครอบครองปืน"
กรมบัญชีกลางเผย บัตรสวัสดิการแห่งรัฐใช้ขึ้นรถไฟฟ้า BTS ได้แล้วทุกสถานี พร้อมวงเงิน 500 บาท/เดือน,19.03.2019,,276K,,Loading...,,Thailand,"รถไฟฟ้าบีทีเอส,MRT,บัตรสวัสดิการแห่งรัฐ,สุทธิรัตน์ รัตนโชติ,ขสมก."
ตัวเลขผู้มีสิทธิเลือกตั้ง 2562 ชี้ชะตา 24 มีนาคม เทคะแนนให้ใคร,19.03.2019,,"2,218K",,Loading...,,"Thailand,Politics","กระทรวงมหาดไทย,ผู้มีสิทธิ์เลือกตั้ง"
‘ประยุทธ์’ นำถก ครม. ปิดท้ายก่อนเลือกตั้ง คิวแน่นลุย 2 จังหวัด ‘กทม.- ฉะเชิงเทรา’,19.03.2019,,220K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,อธิสิทธิ์ ไชยนุวัติ,อดุลย์ แสงสิงแก้ว,การประชุมคณะรัฐมนตรี"
กราดยิงในเมืองยูเทรกต์ เนเธอร์แลนด์ มีผู้เสียชีวิตแล้ว 1 ราย ตำรวจยังไม่ยืนยันเป็นเหตุก่อการร้าย,18.03.2019,,322K,,Loading...,,World,"การก่อการร้าย,เหตุการณ์กราดยิง,Netherlands"
ป.ป.ส. เตือน โพสต์ซื้อ-ขาย ‘กัญชาและยาเสพติดทุกชนิด’ ลงโซเชียล เข้าข่ายผิดกฎหมาย,19.03.2019,,177K,,Loading...,,Thailand,"กัญชา,สำนักงานคณะกรรมการป้องกันและปราบปรามยาเสพติด,ยาเสพติด,พ.ร.บ. ยาเสพติดให้โทษ,นิยม เติมศรีสุข"
ประยุทธ์โมโห โดนถามถ้าแพ้เลือกตั้งจะทำอย่างไร,20.03.2019,,525K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,พรรคพลังประชารัฐ"
สะเทือนวงการรีเทลแฟชั่น-บิวตี้! อินสตาแกรมปล่อยฟีเจอร์ใหม่ Checkout ช้อปโดยตรงจากแอปฯ,20.03.2019,,206K,,Loading...,,"Tech,Fashion,POP","Instagram,Checkout"
รฟท. เผยกลุ่มซีพียอมถอยหนึ่งก้าว เดินหน้าเจรจารถไฟเชื่อมสนามบินต่อ ขอคุยพันธมิตรเรื่องเงิน ชัดเจน 28 มี.ค. นี้,19.03.2019,,139K,,Loading...,,Business,"การรถไฟแห่งประเทศไทย,เครือเจริญโภคภัณฑ์"
นายกฯ ยังไม่เห็นหนังสือสั่งทหารหนุนพรรคการเมือง ชี้ไม่ควร พร้อมขอบคุณประชาชนอวยพรวันเกิดล่วงหน้า,20.03.2019,,66K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,พรรคพลังประชารัฐ"
อันดับเมืองที่มีค่าครองชีพสูงที่สุดในโลก ปี 2019,19.03.2019,,"1,019K",,Loading...,,"World,Business",ค่าครองชีพ
สรุปคำพิพากษาคดีเสือดำ 4 จำเลย จำคุกเปรมชัย 16 เดือน ยกฟ้องข้อหามีซากเสือดำ,19.03.2019,,"3,314K",,Loading...,,"Thailand,Environment","เปรมชัย กรรณสูต,นที เรียมแสน,ยงค์ โดดเครือ,เสือดำ,คดีล่าสัตว์ป่าทุ่งใหญ่นเรศวรด้านตะวันตก,ธานี ทุมมาศ"
ลือ Google เตรียมเปิดตัว Cloud Gaming บุกตลาดอีสปอร์ตในงาน Game Developers Conference คืนนี้,20.03.2019,,214K,,Loading...,,Sport,Google
Google เปิดตัว Stadia ระบบเกมสตรีมมิงที่ขึ้นชื่อว่าเป็น Netflix แห่งวงการเกม,20.03.2019,,140K,,Loading...,,Sport,Google
จาก Goalkeeper สู่ Goalplayer 4.0 บทบาทใหม่ของผู้รักษาประตูในอนาคตจากมุมมองของโอลิเวอร์ คาห์น,20.03.2019,,285K,,Loading...,,Sport,"Oliver Kahn,Goalplay,Sport Thai Bavaria,ผู้รักษาประตู"
ญี่ปุ่นส่งจดหมายเชิญประมุขและผู้แทน 195 ชาติ เข้าร่วมงานเฉลิมฉลองการขึ้นครองราชย์ของสมเด็จพระจักรพรรดิพระองค์ใหม่,20.03.2019,,323K,,Loading...,,World,ราชวงศ์ญี่ปุ่น
มูลนิธิสืบนาคะเสถียร ออกแถลงการณ์คดีเสือดำ บทเรียนครั้งสำคัญของสังคมไทย ขอประชาชนร่วมติดตามจนกว่าคดีถึงที่สุด,19.03.2019,,"2,260K",,Loading...,,"Thailand,Environment","เปรมชัย กรรณสูต,มูลนิธิสืบนาคะเสถียร,เสือดำ"
"ศาลอนุมัติประกันตัวเปรมชัย 400,000 บาท ห้ามออกนอกประเทศ",19.03.2019,,"4,009K",,Loading...,,Thailand,"เปรมชัย กรรณสูต,นที เรียมแสน,ยงค์ โดดเครือ,เสือดำ,คดีล่าสัตว์ป่าทุ่งใหญ่นเรศวรด้านตะวันตก,ธานี ทุมมาศ"
ฮ่องกงเตรียมทุ่มงบ 2.5 ล้านล้านบาท สร้างเกาะเทียมที่ใหญ่ที่สุดเป็นอันดับต้นๆ ของโลก แก้ปัญหาขาดแคลนที่พักอาศัย,20.03.2019,,87K,,Loading...,,World,Hong Kong
ศุกร์นี้ 22 มี.ค. ประชาธิปัตย์ปราศรัยใหญ่โค้งสุดท้าย ลานคนเมือง กรุงเทพฯ เตรียมประกาศจุดยืน,19.03.2019,,145K,,Loading...,,"Thailand,Politics",พรรคประชาธิปัตย์
เจาะกลยุทธ์กรุงศรี Smart Branch มุ่งตอบโจทย์ลูกค้ายุคดิจิทัลรอบด้าน สวนกระแสทยอยปิดสาขาธนาคาร [Advertorial],19.03.2019,,"1,598K",,Loading...,,Business,"ธนาคารกรุงศรีอยุธยา,Advertorial,พงษ์อนันต์ ธณัติไตร"
ไทย-เมียนมา ร่วมเปิดสะพานมิตรภาพแห่งที่ 2 จังหวัดตาก ซูจีให้กำลังใจไทยเป็นประธานอาเซียนปีนี้,19.03.2019,,91K,,Loading...,,Thailand,"ประยุทธ์ จันทร์โอชา,ออง ซาน ซูจี,ความสัมพันธ์ไทย-เมียนมา"
พลังประชารัฐชูนโยบายหาเสียงโค้งสุดท้าย อัดสโลแกน ‘เลือกความสงบ.. จบที่ลุงตู่’,21.03.2019,,242K,,Loading...,,"Thailand,Politics",พรรคพลังประชารัฐ
สมเด็จพระเจ้าอยู่หัว พระราชทานแจกันดอกไม้ พล.อ. ประยุทธ์ เนื่องในวันคล้ายวันเกิด,21.03.2019,,160K,,Loading...,,Thailand,"ประยุทธ์ จันทร์โอชา,สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร"
ปราศรัยเวทีสุดท้าย ฟังอภิสิทธิ์เปิดใจ เพื่อไทย-อนาคตใหม่ใช้ที่เดียวกัน จับตาเซอร์ไพรส์พลังประชารัฐ,21.03.2019,,"2,965K",,Loading...,,"Thailand,Politics","พรรคเพื่อไทย,พรรคประชาธิปัตย์,พรรคอนาคตใหม่"
พ่อค้า-แม่ค้าเตรียมตัว! ประกาศราชกิจจาฯ ‘กฎหมายภาษีอีเพย์เมนต์’ เก็บภาษีการค้าออนไลน์ มีผล 21 มี.ค. 62 เป็นต้นไป,21.03.2019,,988K,,Loading...,,"Thailand,Business","ภาษี,ภาษีผู้ค้าออนไลน์,กฎหมายภาษีอีเพย์เมนต์"
